i,x,y,u_avg,rank,pct_rank
1615,0.22014369244991,0.961890736256803,0.370873521903446,1,1.00000000000002
1674,0.22014369244991,0.957416586990631,0.36863644727036,2,0.999340804218875
1733,0.221315694894556,0.948648131962923,0.363666218534183,3,0.998681608437728
4138,0.05098274186766,0.772344121640217,0.360680689886279,4,0.998022412656581
1614,0.22014369244991,0.940365276152311,0.3601107918512,5,0.997363216875434
1673,0.22014369244991,0.93677433689428,0.358315322222185,6,0.996704021094287
4079,0.051568743089983,0.765550374862229,0.356990815886123,7,0.99604482531314
1791,0.22014369244991,0.933483616310242,0.356669961930166,8,0.995385629531993
1732,0.22014369244991,0.933202884456965,0.356529596003527,9,0.994726433750846
1555,0.22014369244991,0.929952751078848,0.354904529314469,10,0.994067237969699
1792,0.221315694894556,0.928867113550434,0.353775709327939,11,0.993408042188551
1731,0.219557691227587,0.92562015317612,0.353031230974266,12,0.992748846407404
1850,0.220729693672233,0.926677051485765,0.352973678906766,13,0.992089650626257
4020,0.0464930870424203,0.752073294058871,0.352790103508225,14,0.99143045484511
1672,0.22014369244991,0.923505786820814,0.351681047185452,15,0.990771259063963
1790,0.219557691227587,0.922710057067952,0.351576182920182,16,0.990112063282816
1909,0.220729693672233,0.915477997598652,0.347374151963209,17,0.989452867501669
1849,0.219557691227587,0.911157654019034,0.345799981395723,18,0.988793671720522
3961,0.0464930870424203,0.731837479440221,0.3426721961989,19,0.988134475939375
1556,0.268873139045733,0.951478283765267,0.341302572359767,20,0.987475280158228
1613,0.225219348497473,0.906139399158092,0.34046002533031,21,0.986816084377081
1908,0.219557691227587,0.897744729729526,0.33909351925097,22,0.986156888595934
4197,0.056570435707903,0.733334128114936,0.338381846203517,23,0.985497692814787
4322,0.0738430568264327,0.747466381404972,0.33681166228927,24,0.98483849703364
4263,0.0738430568264327,0.746840454273134,0.336498698723351,25,0.984179301252493
1497,0.268873139045733,0.941066737862622,0.336096799408445,26,0.983520105471346
4255,0.0565110978082058,0.721853225200086,0.33267106369594,27,0.982860909690199
918,0.340472707670325,1,0.329763646164837,28,0.982201713909052
1967,0.220729693672233,0.879869149691083,0.329569728009425,29,0.981542518127905
4321,0.0738430568264327,0.731958614012315,0.329057778592941,30,0.980883322346758
4380,0.0738430568264327,0.730171077199332,0.32816401018645,31,0.980224126565611
4262,0.0761629199879956,0.73185440113406,0.327845740573032,32,0.979564930784464
4320,0.062908469131065,0.7161667015074,0.326629116188168,33,0.978905735003317
4439,0.0738430568264327,0.726973823912275,0.326565383542921,34,0.97824653922217
975,0.340079704344275,0.992561093797273,0.326240694726499,35,0.977587343441023
2095,0.219801987607286,0.871937187842069,0.326067600117392,36,0.976928147659876
860,0.341245995390846,0.989385372379281,0.324069688494218,37,0.976268951878729
4204,0.0967028957770349,0.743226807079518,0.323261955651242,38,0.975609756097581
861,0.341245995390846,0.986938865808505,0.322846435208829,39,0.974950560316434
4145,0.0947760359415227,0.737896716020197,0.321560340039337,40,0.974291364535287
1438,0.269459140268056,0.911045176402632,0.320793018067288,41,0.97363216875414
3902,0.0459070858200974,0.687148311770181,0.320620612975042,42,0.972972972972993
2094,0.215948459453146,0.856849479526036,0.320450510036445,43,0.972313777191846
1730,0.22463334727515,0.863904548391498,0.319635600558174,44,0.971654581410699
4319,0.0562812437025996,0.695255017309832,0.319486886803616,45,0.970995385629552
4205,0.118696313483813,0.757663920951839,0.319483803734013,46,0.970336189848405
4378,0.0539613805410369,0.691676050072453,0.318857334765708,47,0.969676994067258
1976,0.214401884012104,0.851918708439186,0.318758412213541,48,0.969017798286111
4379,0.0761629199879956,0.713629180431205,0.318733130221605,49,0.968358602504964
974,0.338907701899629,0.975534878911353,0.318313588505862,50,0.967699406723817
4438,0.0738430568264327,0.709628795375704,0.317892869274636,51,0.96704021094267
4497,0.0687080628791729,0.704222108847734,0.31775702298428,52,0.966381015161523
4142,0.036593032915654,0.671682345274067,0.317544656179207,53,0.965721819380376
1921,0.265438283321025,0.900368336552389,0.317465026615682,54,0.965062623599229
4493,0.0135152291028333,0.64844048151668,0.317462626206924,55,0.964403427818082
4146,0.117149738042771,0.752046766637073,0.317448514297151,56,0.963744232036935
1789,0.22463334727515,0.859007950322628,0.317187301523739,57,0.963085036255788
1033,0.338907701899629,0.972938149188245,0.317015223644308,58,0.962425840474641
4261,0.0853279734402421,0.715765393593734,0.315218710076746,59,0.961766644693494
859,0.340472707670325,0.970394615809388,0.314960954069531,60,0.961107448912347
803,0.339421758520653,0.967259006021411,0.313918623750379,61,0.9604482531312
3430,0.0883447567650791,0.715944146418579,0.31379969482675,62,0.959789057350053
3489,0.0883447567650791,0.715860343570473,0.313757793402697,63,0.959129861568906
4196,0.0437695152168718,0.671257596126476,0.313744040454802,64,0.958470665787759
3371,0.0883447567650791,0.71473079528324,0.31319301925908,65,0.957811470006611
917,0.340079704344275,0.965623121093256,0.31277170837449,66,0.957152274225464
1979,0.268531434203109,0.893653918327923,0.312561242062407,67,0.956493078444317
1922,0.27206550874949,0.895919062890561,0.311926777070536,68,0.95583388266317
973,0.328575811358141,0.952325238797397,0.311874713719628,69,0.955174686882023
3548,0.0883447567650791,0.711985410749598,0.31182032699226,70,0.954515491100876
2152,0.215362458230823,0.838927283042103,0.31178241240564,71,0.953856295319729
2212,0.234643009449988,0.858166326881908,0.31176165871596,72,0.953197099538582
2093,0.215362458230823,0.838287424008329,0.311462482888753,73,0.952537903757435
2034,0.214401884012104,0.837316211323125,0.31145716365551,74,0.951878707976288
3431,0.0887377600911297,0.711559591643943,0.311410915776407,75,0.951219512195141
2153,0.235416297170509,0.857670353588309,0.3111270282089,76,0.950560316413994
1032,0.329161812580464,0.95133746810629,0.311087827762913,77,0.949901120632847
3549,0.0893237613134527,0.71099040429637,0.310833321491459,78,0.9492419248517
3490,0.0899097625357757,0.711033453513626,0.310561845488925,79,0.948582729070553
1848,0.22463334727515,0.845423395106626,0.310395023915738,80,0.947923533289406
3372,0.0887377600911297,0.707839661737894,0.309550950823382,81,0.947264337508259
1920,0.268531434203109,0.886700513444041,0.309084539620466,82,0.946605141727112
4141,0.0340552048918726,0.651740995839968,0.308842895474048,83,0.945945945945965
4315,0.00566165726988562,0.623273115927923,0.308805729329019,84,0.945286750164818
4081,0.000586001222322956,0.618091584428218,0.308752791602947,85,0.944627554383671
1862,0.27206550874949,0.888895653421268,0.308415072335889,86,0.943968358602524
